Origin,Destination,Operator,Bus Type,Departure Time,Arrival Time,Price,Date,Date Type
Chennai,Tirunelveli,LION Travels,Non A/C Seater / Sleeper (2+1),21:00,08:20,1200.0,17-Jun-2026,Weekday
Chennai,Tirunelveli,KNR Tranz,Non A/C Seater / Sleeper (2+1),21:30,06:29,949.0,17-Jun-2026,Weekday
Chennai,Tirunelveli,Vignesh TAT,A/C Sleeper (2+1),19:05,07:30,1241.0,17-Jun-2026,Weekday
Chennai,Nagercoil,KNR Tranz,Non A/C Seater / Sleeper (2+1),21:45,07:50,949.0,17-Jun-2026,Weekday
Chennai,Nagercoil,zingbus Maxx,Volvo 9600 SLX Multi-Axle AC Sleeper (2+1),21:05,08:20,2644.0,17-Jun-2026,Weekday
Chennai,Nagercoil,FlixBus,A/C Sleeper (2+1),19:35,09:00,1549.52,17-Jun-2026,Weekday
Chennai,Nagercoil,SBM TRAANSPORT,Volvo 9600 SLX Multi-Axle AC Sleeper (2+1),19:45,06:40,1999.0,17-Jun-2026,Weekday
Chennai,Nagercoil,VENKY BUS,A/C Sleeper (2+1),18:15,06:55,1100.0,17-Jun-2026,Weekday
Chennai,Nagercoil,zingbus plus,A/C Sleeper (2+1),20:10,07:30,2704.0,17-Jun-2026,Weekday
Chennai,Nagercoil,SBM TRAANSPORT,Volvo 9600 SLX Multi-Axle AC Sleeper (2+1),21:30,08:00,2599.0,17-Jun-2026,Weekday
Chennai,Nagercoil,FlixBus,A/C Sleeper (2+1),17:35,07:05,1894.29,17-Jun-2026,Weekday
Chennai,Nagercoil,Jayavin Travels,A/C Seater / Sleeper (2+1),17:00,05:00,1130.0,17-Jun-2026,Weekday
Chennai,Nagercoil,PALSLNT Travels,A/C Seater / Sleeper (2+1),16:00,04:15,944.0,17-Jun-2026,Weekday
Chennai,Erode,RIHAA EXPRESS,Bharat Benz A/C Sleeper (2+1),22:00,06:15,800.0,17-Jun-2026,Weekday
Chennai,Erode,Jayalakshmi Bus,Bharat Benz A/C Seater /Sleeper (2+1),22:40,06:15,759.0,17-Jun-2026,Weekday
Chennai,Erode,Dheeran Transport,Bharat Benz A/C Sleeper (2+1),21:00,06:00,900.0,17-Jun-2026,Weekday
Chennai,Erode,KPS Travels,A/C Sleeper (2+1),21:00,06:30,850.0,17-Jun-2026,Weekday
Chennai,Erode,JB Connect,Bharat Benz A/C Sleeper (2+1),21:10,04:45,971.0,17-Jun-2026,Weekday
Chennai,Erode,Rhythm Xpress,VE A/C Sleeper (2+1),20:30,06:00,854.0,17-Jun-2026,Weekday
Chennai,Erode,SK Balu Bus,VE A/C Sleeper (2+1),23:15,06:46,850.0,17-Jun-2026,Weekday
Chennai,Erode,SRL Travels,Bharat Benz A/C Sleeper (2+1),12:45,20:20,970.0,17-Jun-2026,Weekday
Chennai,Erode,No 1 Air Travels,Bharat Benz A/C Sleeper (2+1),13:45,21:15,720.0,17-Jun-2026,Weekday
Chennai,Erode,Jayalakshmi Bus,Bharat Benz A/C Seater /Sleeper (2+1),09:30,17:00,599.0,17-Jun-2026,Weekday
Chennai,Tirupur,SST Limoliner,Bharat Benz A/C Seater /Sleeper (2+1),20:45,05:25,2249.0,17-Jun-2026,Weekday
Chennai,Tirupur,Essaar,A/C Sleeper (2+1),20:35,05:45,884.0,17-Jun-2026,Weekday
Chennai,Tirupur,Mettur Super Services(mss),A/C Seater / Sleeper (2+1),20:30,05:00,399.0,17-Jun-2026,Weekday
Chennai,Tirupur,Tippusultan Travels,NON AC Seater / Sleeper 2+1,22:30,07:45,650.0,17-Jun-2026,Weekday
Chennai,Tirupur,PSS Transport,A/C Sleeper (2+1),21:00,05:40,960.0,17-Jun-2026,Weekday
Chennai,Tirupur,LION Travels,Non A/C Seater / Sleeper (2+1),21:30,06:35,900.0,17-Jun-2026,Weekday
Chennai,Tirupur,SGT Translinks,A/C Sleeper (2+1),20:20,05:25,846.0,17-Jun-2026,Weekday
